InstanceType,vCPUs,MemoryMiB,GPUs
m6gd.large,2,8192,0
m6gd.medium,1,4096,0
m6gd.metal,64,262144,0
m6gd.xlarge,4,16384,0
m6i.12xlarge,48,196608,0
m6i.16xlarge,64,262144,0
m6i.24xlarge,96,393216,0
m6i.2xlarge,8,32768,0
m6i.32xlarge,128,524288,0
m6i.4xlarge,16,65536,0
m6i.8xlarge,32,131072,0
m6i.large,2,8192,0
m6i.metal,128,524288,0
m6i.xlarge,4,16384,0
m6id.12xlarge,48,196608,0
m6id.16xlarge,64,262144,0
m6id.24xlarge,96,393216,0
m6id.2xlarge,8,32768,0
m6id.32xlarge,128,524288,0
m6id.4xlarge,16,65536,0
m6id.8xlarge,32,131072,0
m6id.large,2,8192,0
m6id.metal,128,524288,0
m6id.xlarge,4,16384,0
m6idn.12xlarge,48,196608,0
m6idn.16xlarge,64,262144,0
m6idn.24xlarge,96,393216,0
m6idn.2xlarge,8,32768,0
m6idn.32xlarge,128,524288,0
m6idn.4xlarge,16,65536,0
m6idn.8xlarge,32,131072,0
m6idn.large,2,8192,0
m6idn.metal,128,524288,0
m6idn.xlarge,4,16384,0
m6in.12xlarge,48,196608,0
m6in.16xlarge,64,262144,0
m6in.24xlarge,96,393216,0
m6in.2xlarge,8,32768,0
m6in.32xlarge,128,524288,0
m6in.4xlarge,16,65536,0
m6in.8xlarge,32,131072,0
m6in.large,2,8192,0
m6in.metal,128,524288,0
m6in.xlarge,4,16384,0
m7a.12xlarge,48,196608,0
m7a.16xlarge,64,262144,0
m7a.24xlarge,96,393216,0
m7a.2xlarge,8,32768,0
m7a.32xlarge,128,524288,0
m7a.48xlarge,192,786432,0
m7a.4xlarge,16,65536,0
m7a.8xlarge,32,131072,0
m7a.large,2,8192,0
m7a.medium,1,4096,0
m7a.metal-48xl,192,786432,0
m7a.xlarge,4,16384,0
m7g.12xlarge,48,196608,0
m7g.16xlarge,64,262144,0
m7g.2xlarge,8,32768,0
m7g.4xlarge,16,65536,0
m7g.8xlarge,32,131072,0
m7g.large,2,8192,0
m7g.medium,1,4096,0
m7g.metal,64,262144,0
m7g.xlarge,4,16384,0
m7gd.12xlarge,48,196608,0
m7gd.16xlarge,64,262144,0
m7gd.2xlarge,8,32768,0
m7gd.4xlarge,16,65536,0
m7gd.8xlarge,32,131072,0
m7gd.large,2,8192,0
m7gd.medium,1,4096,0
m7gd.metal,64,262144,0
m7gd.xlarge,4,16384,0
m7i-flex.12xlarge,48,196608,0
m7i-flex.16xlarge,64,262144,0
m7i-flex.2xlarge,8,32768,0
m7i-flex.4xlarge,16,65536,0
m7i-flex.8xlarge,32,131072,0
m7i-flex.large,2,8192,0
m7i-flex.xlarge,4,16384,0
m7i.12xlarge,48,196608,0
m7i.16xlarge,64,262144,0
m7i.24xlarge,96,393216,0
m7i.2xlarge,8,32768,0
m7i.48xlarge,192,786432,0
m7i.4xlarge,16,65536,0
m7i.8xlarge,32,131072,0
m7i.large,2,8192,0
m7i.metal-24xl,96,393216,0
m7i.metal-48xl,192,786432,0
m7i.xlarge,4,16384,0
m8a.12xlarge,48,196608,0
m8a.16xlarge,64,262144,0
m8a.24xlarge,96,393216,0
m8a.2xlarge,8,32768,0
m8a.48xlarge,192,786432,0
m8a.4xlarge,16,65536,0
m8a.8xlarge,32,131072,0
m8a.large,2,8192,0
m8a.medium,1,4096,0
m8a.metal-24xl,96,393216,0
m8a.metal-48xl,192,786432,0
m8a.xlarge,4,16384,0
m8g.12xlarge,48,196608,0
m8g.16xlarge,64,262144,0
m8g.24xlarge,96,393216,0
m8g.2xlarge,8,32768,0
m8g.48xlarge,192,786432,0
m8g.4xlarge,16,65536,0
m8g.8xlarge,32,131072,0
m8g.large,2,8192,0
m8g.medium,1,4096,0
m8g.metal-24xl,96,393216,0
m8g.metal-48xl,192,786432,0
m8g.xlarge,4,16384,0
m8gd.12xlarge,48,196608,0
m8gd.16xlarge,64,262144,0
m8gd.24xlarge,96,393216,0
